ticker,alpha,expected_rate,actual_rate,n_violations,kupiec_p,independence_p,zone
NVDA,0.05,0.05,0.06252713851498046,144,0.007827672015915499,0.02163373842395311,Green
NVDA,0.01,0.01,0.016500217108119844,38,0.004146708614613193,0.6589469412406659,Yellow
AMD,0.05,0.05,0.053842813721233174,124,0.40303912698553,0.8964129165611849,Green
AMD,0.01,0.01,0.014763352149370386,34,0.031913495771348055,0.10230889250340014,Green
TSM,0.05,0.05,0.057750759878419454,133,0.09543494512511175,0.622743836956079,Green
TSM,0.01,0.01,0.014763352149370386,34,0.031913495771348055,0.5286681943062426,Green
AVGO,0.05,0.05,0.061658706035605734,142,0.013105336845900317,0.2659231290359769,Green
AVGO,0.01,0.01,0.015631784628745114,36,0.01208844633196049,0.01890335646864849,Yellow
QCOM,0.05,0.05,0.058619192357794184,135,0.06436366576331976,0.1483811425254743,Green
QCOM,0.01,0.01,0.01606600086843248,37,0.007166853141553298,0.022239713526589044,Yellow
MU,0.05,0.05,0.056013894919669995,129,0.193512592544839,0.016445463005371086,Green
MU,0.01,0.01,0.014763352149370386,34,0.031913495771348055,0.0012821854872314686,Green
AAPL,0.05,0.05,0.06252713851498046,144,0.007827672015915499,5.728601512067222e-05,Green
AAPL,0.01,0.01,0.015197568389057751,35,0.019890516299473693,0.5605089877163322,Yellow
MSFT,0.05,0.05,0.057316543638732086,132,0.11503801059338992,0.05452563418775169,Green
MSFT,0.01,0.01,0.01693443334780721,39,0.002342500691059235,0.17411272343464734,Yellow
GOOG,0.05,0.05,0.055145462440295265,127,0.2647073162719239,0.06678859073418753,Green
GOOG,0.01,0.01,0.017368649587494574,40,0.001292530354627952,0.7264126088269278,Yellow
META,0.05,0.05,0.056882327399044724,131,0.13773626412394036,0.008844072326430807,Green
META,0.01,0.01,0.01910551454624403,44,9.548452641572336e-05,0.8636100760615391,Yellow
